Date;Num1;Num2;Num3;Num4;Num5;Num6;Dream
06/11/2023;10;13;14;25;30;35;5
09/11/2023;14;16;19;31;32;37;2
13/11/2023;1;6;25;26;33;39;2
16/11/2023;5;11;13;18;25;27;5
20/11/2023;6;13;18;25;26;32;3
23/11/2023;4;15;22;23;28;35;4
27/11/2023;2;18;23;29;33;35;4
30/11/2023;2;14;15;27;36;37;5
04/12/2023;8;12;24;29;30;32;5
07/12/2023;1;3;5;10;32;38;5
11/12/2023;11;18;21;28;30;32;1
14/12/2023;3;8;9;22;27;33;1
18/12/2023;2;16;21;33;35;40;5
21/12/2023;3;15;17;23;26;29;4
25/12/2023;3;12;13;17;21;22;1
01/01/2024;2;5;18;24;28;39;4
04/01/2024;15;21;22;29;30;39;1
08/01/2024;13;19;25;26;33;40;1
11/01/2024;5;7;24;29;31;38;2
15/01/2024;2;6;19;23;33;35;5
18/01/2024;8;16;19;23;30;40;5
22/01/2024;8;16;25;29;31;34;2
25/01/2024;1;2;3;22;26;27;1
29/01/2024;2;8;25;27;29;38;3
01/02/2024;6;12;15;28;33;35;3
05/02/2024;5;9;20;21;25;40;4
08/02/2024;2;19;22;26;36;40;4
12/02/2024;3;4;6;9;10;16;1
15/02/2024;3;5;8;14;16;21;1
19/02/2024;7;20;25;37;38;40;4
22/02/2024;2;8;10;20;24;39;4
26/02/2024;2;15;19;23;37;40;2
29/02/2024;10;11;21;31;38;40;1
04/03/2024;1;10;23;25;29;35;1
07/03/2024;13;15;23;31;35;39;1
11/03/2024;2;7;14;22;37;39;1
14/03/2024;3;12;13;20;27;35;2
18/03/2024;6;8;18;19;24;39;3
21/03/2024;3;8;27;30;33;37;2
25/03/2024;3;12;15;20;25;27;3
28/03/2024;1;7;9;13;18;37;3
01/04/2024;3;10;15;18;26;38;4
04/04/2024;9;10;12;14;20;31;5
08/04/2024;3;13;24;28;36;39;4
11/04/2024;17;19;22;30;35;37;1
15/04/2024;2;13;17;26;33;37;5
18/04/2024;4;13;16;18;28;30;2
22/04/2024;6;23;24;31;32;39;1
25/04/2024;2;16;19;23;24;25;1
29/04/2024;1;17;23;29;36;40;3
02/05/2024;4;10;16;17;26;30;1
06/05/2024;7;17;26;27;32;39;3
09/05/2024;6;7;13;14;24;33;1
13/05/2024;9;20;23;24;37;39;1
16/05/2024;8;9;14;18;23;24;3
20/05/2024;3;14;15;21;23;29;4
23/05/2024;7;8;13;14;23;31;1
27/05/2024;2;7;14;15;23;24;3
30/05/2024;4;10;11;17;24;39;5
03/06/2024;1;3;11;22;34;38;4
06/06/2024;12;15;24;28;29;31;1
10/06/2024;4;7;27;31;33;40;3
13/06/2024;17;19;21;22;23;27;1
17/06/2024;14;16;19;22;23;32;4
20/06/2024;1;2;7;13;19;21;5
24/06/2024;5;13;16;20;23;30;5
27/06/2024;9;13;15;18;27;37;2
01/07/2024;4;8;11;12;20;38;2
04/07/2024;4;8;22;23;27;33;3
